id,nutritionist_id,day_of_week,start_time,end_time,is_available
1,8,1,09:00,10:00,1
2,8,1,10:00,11:00,1
3,8,1,11:00,12:00,1
4,8,1,14:00,15:00,1
5,8,1,15:00,16:00,1
6,8,1,16:00,17:00,1
7,8,2,09:00,10:00,1
8,8,2,10:00,11:00,1
9,8,2,11:00,12:00,1
10,8,2,14:00,15:00,1
11,8,2,15:00,16:00,1
12,8,2,16:00,17:00,1
13,8,3,09:00,10:00,1
14,8,3,10:00,11:00,1
15,8,3,11:00,12:00,1
16,8,3,14:00,15:00,1
17,8,3,15:00,16:00,1
18,8,3,16:00,17:00,1
19,8,4,09:00,10:00,1
20,8,4,10:00,11:00,1
21,8,4,11:00,12:00,1
22,8,4,14:00,15:00,1
23,8,4,15:00,16:00,1
24,8,4,16:00,17:00,1
25,8,5,09:00,10:00,1
26,8,5,10:00,11:00,1
27,8,5,11:00,12:00,1
28,8,5,14:00,15:00,1
29,8,5,15:00,16:00,1
30,8,5,16:00,17:00,1
31,8,1,09:00,10:00,1
32,8,1,10:00,11:00,1
33,8,1,11:00,12:00,1
34,8,1,14:00,15:00,1
35,8,1,15:00,16:00,1
36,8,1,16:00,17:00,1
37,8,2,09:00,10:00,1
38,8,2,10:00,11:00,1
39,8,2,11:00,12:00,1
40,8,2,14:00,15:00,1
41,8,2,15:00,16:00,1
42,8,2,16:00,17:00,1
43,8,3,09:00,10:00,1
44,8,3,10:00,11:00,1
45,8,3,11:00,12:00,1
46,8,3,14:00,15:00,1
47,8,3,15:00,16:00,1
48,8,3,16:00,17:00,1
49,8,4,09:00,10:00,1
50,8,4,10:00,11:00,1
51,8,4,11:00,12:00,1
52,8,4,14:00,15:00,1
53,8,4,15:00,16:00,1
54,8,4,16:00,17:00,1
55,8,5,09:00,10:00,1
56,8,5,10:00,11:00,1
57,8,5,11:00,12:00,1
58,8,5,14:00,15:00,1
59,8,5,15:00,16:00,1
60,8,5,16:00,17:00,1
